# x_original y_original y_fitted
27.275800 6.782049e-22 -1.786492e-19
27.372100 6.789000e-22 -1.661122e-19
27.468300 6.795982e-22 -1.540247e-19
27.564500 6.802997e-22 -1.423632e-19
27.660800 6.810043e-22 -1.311063e-19
27.757000 6.817122e-22 -1.202677e-19
27.853300 6.824233e-22 -1.098153e-19
27.949500 6.831377e-22 -9.976133e-20
28.045800 6.838555e-22 -9.007562e-20
28.142000 6.845765e-22 -8.076921e-20
28.238300 6.853010e-22 -7.181382e-20
28.334500 6.860288e-22 -6.321926e-20
28.430700 6.867601e-22 -5.496746e-20
28.527000 6.874948e-22 -4.704189e-20
28.623200 6.882330e-22 -3.945071e-20
28.719500 6.889747e-22 -3.216998e-20
28.815700 6.897199e-22 -2.520679e-20
28.912000 6.904688e-22 -1.853881e-20
29.008200 6.912212e-22 -1.217214e-20
29.104400 6.919773e-22 -6.092150e-21
29.200700 6.927370e-22 -2.855061e-22
29.296900 6.935005e-22 5.243034e-21
29.393200 6.942676e-22 1.051214e-20
29.489400 6.950386e-22 1.551791e-20
29.585700 6.958133e-22 2.027766e-20
29.681900 6.965919e-22 2.478827e-20
29.778100 6.973744e-22 2.906147e-20
29.874400 6.981607e-22 3.310784e-20
29.970600 6.989510e-22 3.692539e-20
30.066900 6.997453e-22 4.052833e-20
30.163100 7.005436e-22 4.391534e-20
30.259400 7.013460e-22 4.709949e-20
30.355600 7.021524e-22 5.008009e-20
30.451800 7.029629e-22 5.286636e-20
30.548100 7.037776e-22 5.546659e-20
30.644300 7.045966e-22 5.788094e-20
30.740600 7.054197e-22 6.011992e-20
30.836800 7.062472e-22 6.218424e-20
30.933100 7.070789e-22 6.408344e-20
31.029300 7.079150e-22 6.581873e-20
31.125500 7.087556e-22 6.739721e-20
31.221800 7.096005e-22 6.882522e-20
31.318000 7.104500e-22 7.010464e-20
31.414300 7.113040e-22 7.124287e-20
31.510500 7.121625e-22 7.224220e-20
31.606800 7.130257e-22 7.310926e-20
31.703000 7.138936e-22 7.384670e-20
31.799300 7.147662e-22 7.446042e-20
31.895500 7.156435e-22 7.495342e-20
31.991700 7.165256e-22 7.533058e-20
32.088000 7.174126e-22 7.559620e-20
32.184200 7.183045e-22 7.575374e-20
32.280500 7.192013e-22 7.580744e-20
32.376700 7.201032e-22 7.576103e-20
32.473000 7.210101e-22 7.561816e-20
32.569200 7.219221e-22 7.538281e-20
32.665400 7.228392e-22 7.505844e-20
32.761700 7.237616e-22 7.464811e-20
32.857900 7.246893e-22 7.415608e-20
32.954200 7.256222e-22 7.358471e-20
33.050400 7.265605e-22 7.293844e-20
33.146700 7.275043e-22 7.221914e-20
33.242900 7.284535e-22 7.143144e-20
33.339100 7.294083e-22 7.057768e-20
33.435400 7.303687e-22 6.965986e-20
33.531600 7.313348e-22 6.868280e-20
33.627900 7.323066e-22 6.764732e-20
33.724100 7.332842e-22 6.655835e-20
33.820400 7.342677e-22 6.541636e-20
33.916600 7.352570e-22 6.422635e-20
34.012800 7.362524e-22 6.298976e-20
34.109100 7.372538e-22 6.170775e-20
34.205300 7.382613e-22 6.038543e-20
34.301600 7.392750e-22 5.902248e-20
34.397800 7.402949e-22 5.762405e-20
34.494100 7.413212e-22 5.618952e-20
34.590300 7.423539e-22 5.472410e-20
34.686600 7.433930e-22 5.322690e-20
34.782800 7.444387e-22 5.170315e-20
34.879000 7.454910e-22 5.015335e-20
34.975300 7.465500e-22 4.857787e-20
35.071500 7.476158e-22 4.698192e-20
35.167800 7.486884e-22 4.536408e-20
35.264000 7.497680e-22 4.372955e-20
35.360300 7.508546e-22 4.207674e-20
35.456500 7.519483e-22 4.041082e-20
35.552700 7.530492e-22 3.873178e-20
35.649000 7.541573e-22 3.703951e-20
35.745200 7.552729e-22 3.533911e-20
35.841500 7.563958e-22 3.362862e-20
35.937700 7.575264e-22 3.191309e-20
36.034000 7.586645e-22 3.019043e-20
36.130200 7.598104e-22 2.846565e-20
36.226400 7.609642e-22 2.673832e-20
36.322700 7.621258e-22 2.500800e-20
36.418900 7.632955e-22 2.327958e-20
36.515200 7.644733e-22 2.155071e-20
36.611400 7.656594e-22 1.982621e-20
36.707700 7.668538e-22 1.810368e-20
36.803900 7.680567e-22 1.638782e-20
36.900100 7.692681e-22 1.467796e-20
36.996400 7.704882e-22 1.297339e-20
37.092600 7.717170e-22 1.127868e-20
37.188900 7.729548e-22 9.591313e-21
37.285100 7.742016e-22 7.915745e-21
37.381400 7.754576e-22 6.249422e-21
37.477600 7.767228e-22 4.596699e-21
37.573800 7.779974e-22 2.956701e-21
37.670100 7.792816e-22 1.328572e-21
37.766300 7.805754e-22 -2.835092e-22
37.862600 7.818790e-22 -1.882125e-21
37.958800 7.831925e-22 -3.463219e-21
38.055100 7.845161e-22 -5.029370e-21
38.151300 7.858499e-22 -6.576646e-21
38.247600 7.871941e-22 -8.107613e-21
38.343800 7.885487e-22 -9.618469e-21
38.440000 7.899140e-22 -1.111022e-20
38.536300 7.912901e-22 -1.258381e-20
38.632500 7.926772e-22 -1.403564e-20
38.728800 7.940754e-22 -1.546821e-20
38.825000 7.954849e-22 -1.687806e-20
38.921300 7.969059e-22 -1.826764e-20
39.017500 7.983385e-22 -1.963362e-20
39.113700 7.997828e-22 -2.097704e-20
39.210000 8.012392e-22 -2.229885e-20
39.306200 8.027077e-22 -2.359595e-20
39.402500 8.041886e-22 -2.487066e-20
39.498700 8.056820e-22 -2.612001e-20
39.595000 8.071882e-22 -2.734629e-20
39.691200 8.087073e-22 -2.854665e-20
39.787400 8.102395e-22 -2.972210e-20
39.883700 8.117850e-22 -3.087359e-20
39.979900 8.133441e-22 -3.199848e-20
40.076200 8.149170e-22 -3.309889e-20
40.172400 8.165039e-22 -3.417235e-20
40.268700 8.181049e-22 -3.522091e-20
40.364900 8.197204e-22 -3.624222e-20
40.461100 8.213506e-22 -3.723724e-20
40.557400 8.229957e-22 -3.820684e-20
40.653600 8.246559e-22 -3.914889e-20
40.749900 8.263316e-22 -4.006525e-20
40.846100 8.280229e-22 -4.095394e-20
40.942400 8.297301e-22 -4.181673e-20
41.038600 8.314535e-22 -4.265179e-20
41.134800 8.331934e-22 -4.345998e-20
41.231100 8.349499e-22 -4.424207e-20
41.327300 8.367235e-22 -4.499643e-20
41.423600 8.385144e-22 -4.572463e-20
41.519800 8.403228e-22 -4.642517e-20
41.616100 8.421491e-22 -4.709954e-20
41.712300 8.439937e-22 -4.774636e-20
41.808600 8.458566e-22 -4.836704e-20
41.904800 8.477384e-22 -4.896035e-20
42.001000 8.496394e-22 -4.952702e-20
42.097300 8.515597e-22 -5.006767e-20
42.193500 8.534998e-22 -5.058129e-20
